ko_id,S2_2016_0,S2_2017_0,S5_2016_0,S5_2017_0,S2_2016_400,S2_2017_400,S5_2016_400,S5_2017_400
K00260,8.16E-05,4.99E-05,7.12E-05,6.04E-05,6.36E-05,3.44E-05,7.83E-05,3.47E-05
K00261,0.000676221,0.000700748,0.000652712,0.000843087,0.000745525,0.000802415,0.000743711,0.00076538
K00262,0.000177338,0.000206272,0.000194821,0.000182776,0.000175368,0.000181041,0.000173422,0.000203195
K00265,0.001147216,0.001189117,0.001139595,0.001157462,0.001087957,0.001192843,0.001053393,0.001160257
K00266,0.001525012,0.001415325,0.001566125,0.00149828,0.001601423,0.001424146,0.001636427,0.001479074
K00284,0.000414742,0.000387422,0.000300861,0.000357511,0.00039515,0.000481901,0.000344342,0.000435908
K00360,0.000117034,0.00012215,7.60E-05,6.71E-05,7.52E-05,0.000122917,7.91E-05,8.35E-05
K00362,0.000461341,0.000493555,0.000408481,0.000436958,0.000443897,0.000509058,0.000433792,0.000436275
K00363,0.000651789,0.000656844,0.000635452,0.000673105,0.000706769,0.000649007,0.000729418,0.00062514
K00366,9.18E-05,0.000116734,6.89E-05,0.000104183,8.95E-05,0.000112555,7.33E-05,9.99E-05
K00367,9.08E-05,0.000106132,9.61E-05,7.24E-05,9.82E-05,0.000106719,7.81E-05,9.24E-05
K00368,0.00021774,0.000158219,0.000469849,0.000177659,0.000179822,0.000149358,0.000183069,0.00015506
K00370,0.000195453,0.000227475,0.000201702,0.000174856,0.000154786,0.000200097,0.000176518,0.000192539
K00371,0.000202127,0.000200741,0.000212645,0.000177537,0.000166461,0.000197954,0.00018962,0.000192294
K00372,0.00039472,0.000406552,0.000310337,0.000350322,0.000379744,0.000395669,0.000406993,0.000373933
K00374,0.000160653,0.000174928,0.000148682,0.000104183,0.00011615,0.000163889,0.000126969,0.000134239
K00376,7.11E-05,9.15E-05,0.000154097,0.00010138,7.69E-05,8.96E-05,7.19E-05,9.59E-05
K00459,0.000984536,0.001281997,0.000945,0.001214123,0.000835436,0.001176883,0.000797906,0.00114066
K00926,0.00020034,0.000134711,0.000145072,0.000115758,0.000179701,0.000159006,0.000192479,0.000148324
K01455,0.00012776,0.000128142,7.52E-05,8.25E-05,0.000109771,0.000124465,9.71E-05,0.000112804
K01501,0.000236689,0.000196823,0.000284391,0.000224693,0.000263835,0.000164604,0.000297413,0.000164614
K01673,0.001876828,0.001927087,0.001785313,0.001834832,0.001875368,0.001923318,0.001864877,0.001889261
K01674,3.42E-05,8.07E-05,4.67E-05,8.07E-05,2.79E-05,6.25E-05,2.31E-05,4.41E-05
K01725,8.31E-05,0.000102099,4.65E-05,7.69E-05,8.26E-05,9.64E-05,7.16E-05,8.22E-05
K01915,0.003518875,0.003298737,0.003167222,0.003158499,0.003499058,0.003403801,0.003494872,0.003173346
K02305,1.11E-05,7.84E-06,1.25E-05,1.66E-05,1.18E-05,6.07E-06,1.62E-05,1.22E-05
K02567,2.91E-05,2.47E-05,2.26E-05,2.12E-05,2.98E-05,2.89E-05,1.95E-05,3.58E-05
K02568,2.91E-05,3.48E-05,2.26E-05,3.36E-05,2.98E-05,3.74E-05,1.95E-05,3.58E-05
K02575,0.000705539,0.000678738,0.000635001,0.000542237,0.000631181,0.000710108,0.000642827,0.000638123
K02586,3.19E-05,3.33E-05,2.01E-05,4.30E-05,3.49E-05,3.91E-05,2.43E-05,3.82E-05
K02588,3.19E-05,3.33E-05,2.12E-05,4.65E-05,3.56E-05,3.91E-05,2.60E-05,4.04E-05
K02591,3.19E-05,3.33E-05,2.01E-05,4.30E-05,3.49E-05,3.91E-05,2.43E-05,3.82E-05
K03385,2.68E-05,2.01E-05,1.47E-05,3.36E-05,2.05E-05,1.93E-05,3.17E-05,2.92E-05
K04561,5.89E-05,9.70E-05,0.000288001,0.0001132,4.31E-05,4.73E-05,4.49E-05,0.000156163
K05601,1.85E-05,2.34E-05,2.91E-05,4.18E-05,2.31E-05,1.10E-05,2.60E-05,2.55E-05
K10535,6.55E-06,4.96E-06,4.51E-06,4.51E-06,7.22E-07,2.62E-06,8.46E-06,0
K10944,6.23E-05,4.09E-05,4.21E-05,3.63E-05,5.93E-05,3.43E-05,6.03E-05,2.99E-05
K10945,6.23E-05,4.09E-05,4.21E-05,3.63E-05,5.93E-05,3.43E-05,6.03E-05,2.99E-05
K10946,0.00013491,8.55E-05,9.32E-05,7.46E-05,0.000115548,6.60E-05,0.000126731,5.55E-05
K15371,0.000630814,0.000628956,0.000650005,0.000532489,0.000590739,0.000587548,0.000568027,0.000622813
K15576,0.00018437,0.000220676,0.000131761,0.000211046,0.000198719,0.000218202,0.000176042,0.000189355
K15577,0.000170426,0.000197514,0.000123751,0.000197033,0.000186803,0.000190093,0.000166275,0.000165839
K15578,0.000170426,0.000199012,0.000123751,0.000197033,0.000186803,0.000190093,0.000166275,0.000165839
K15579,0,1.73E-06,2.26E-07,0,9.63E-07,0,0,0
K15864,1.11E-05,7.84E-06,1.17E-05,1.30E-05,8.43E-06,4.29E-06,1.32E-05,1.00E-05
K15876,1.74E-05,1.19E-05,1.53E-05,3.08E-05,1.77E-05,1.36E-05,2.00E-05,2.20E-05
